"","channel","timepoint","start_time_min","end_time_min","bpm_duration","bpm","bpm.SD","start_time_min_TEMP","temp","end_time_min_TEMP","temp.1","temp_diff","temp_mean","temp.K","testID","abt_fit","Tpeak.K","Tpeak","HRpeak"
"12","Ch2",1,5.677,5.932,15.2996940061199,85.78563291,1.343138654,5.56666666666667,16.4,6.16666666666667,16.4,0,16.4,3.4536349507857,"test8","use",3.35289186923722,25.1,134.0355036
"13","Ch2",10,65.668,65.927,15.5396892062159,134.0355036,0.1227,59.5333333333333,25.1,60.05,25.1,0,25.1,3.35289186923722,"test8","use",3.35289186923722,25.1,134.0355036
"14","Ch2",11,71.517,71.788,16.2596748065039,131.3129869,0.2861,65.45,25.9,65.9833333333333,25.9,0,25.9,3.34392242099983,"test8","NOTuse",3.35289186923722,25.1,134.0355036
"15","Ch2",2,11.51,11.775,15.8996820063599,87.92359612,1.036560699,11.8,17,12.2833333333333,17,0,17,3.44649319317594,"test8","use",3.35289186923722,25.1,134.0355036
"16","Ch2",3,17.498,17.757,15.5396892062159,96.4124155,0.7818764848,17.6166666666667,18,18.1666666666667,18,0,18,3.4346556757685,"test8","use",3.35289186923722,25.1,134.0355036
"17","Ch2",4,23.666,23.92,15.239695206096,105.5010468,0.6567,23.4333333333333,19.1,24.0833333333333,19.1,0,19.1,3.42172797262618,"test8","use",3.35289186923722,25.1,134.0355036
"18","Ch2",5,29.5,29.757,15.419691606168,112.0393077,0.6637,29.4833333333333,20.1,30,20.1,0,20.1,3.41005967604433,"test8","use",3.35289186923722,25.1,134.0355036
"19","Ch2",6,35.741,35.999,15.479690406192,119.9427221,0.5506,35.4166666666667,21.1,36.05,21.1,0,21.1,3.39847068819031,"test8","use",3.35289186923722,25.1,134.0355036
"20","Ch2",7,41.468,41.727,15.5396892062155,124.7269765,6.2594,41.4333333333333,22.1,42.0833333333333,22.1,0,22.1,3.38696020321761,"test8","use",3.35289186923722,25.1,134.0355036
"21","Ch2",8,53.534,53.812,16.6796664066718,125.3487567,7.7071,47.4333333333333,23,48,23,0,23,3.37666722944454,"test8","use",3.35289186923722,25.1,134.0355036
"22","Ch2",9,47.62,47.869,14.939701205976,119.9083573,11.3643,53.55,24.1,54.1166666666667,24.1,0,24.1,3.36417157275021,"test8","use",3.35289186923722,25.1,134.0355036
